,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
144,2021065028,9873797720,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,95.24,40,"LINESTRING (104.8761265 11.5627205, 104.8752526 11.562745)","(11.5627205, 104.8761265)","(11.562745, 104.8752526)",01-Sep-23 8.35 AM - 20240115193632.png,01-Sep-23,8:35 AM
145,2021065037,6113636720,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,38.573,40,"LINESTRING (104.8830231 11.5632864, 104.8826694 11.5632704)","(11.5632864, 104.8830231)","(11.5632704, 104.8826694)",01-Sep-23 8.35 AM - 20240115193637.png,01-Sep-23,8:35 AM
146,2021065037,10782067626,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,7.313,40,"LINESTRING (104.8830902 11.5632884, 104.8830231 11.5632864)","(11.5632884, 104.8830902)","(11.5632864, 104.8830231)",01-Sep-23 8.35 AM - 20240115193642.png,01-Sep-23,8:35 AM
147,2135785322,2135785356,10000,654022221,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,89.85300000000001,40,"LINESTRING (104.8786374 11.5625921, 104.8788477 11.562606, 104.879458 11.5626722)","(11.5625921, 104.8786374)","(11.5626722, 104.879458)",01-Sep-23 8.35 AM - 20240115193646.png,01-Sep-23,8:35 AM
148,2135785322,6113202873,10000,654022221,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,56.724999999999994,40,"LINESTRING (104.8781168 11.5625817, 104.878511 11.5625893, 104.8786374 11.5625921)","(11.5625817, 104.8781168)","(11.5625921, 104.8786374)",01-Sep-23 8.35 AM - 20240115193652.png,01-Sep-23,8:35 AM
149,2135785325,4067944414,10000,654022221,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,19.198,40,"LINESTRING (104.8804364 11.5629152, 104.8806064 11.5629607)","(11.5629152, 104.8804364)","(11.5629607, 104.8806064)",01-Sep-23 8.35 AM - 20240115193657.png,01-Sep-23,8:35 AM
150,2135785325,2135785356,10000,654022221,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,109.986,40,"LINESTRING (104.879458 11.5626722, 104.8795453 11.5626872, 104.8804364 11.5629152)","(11.5626722, 104.879458)","(11.5629152, 104.8804364)",01-Sep-23 8.35 AM - 20240115193710.png,01-Sep-23,8:35 AM
151,2135785329,2135785382,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,36.958,40,"LINESTRING (104.8593428 11.5632124, 104.8591261 11.5632104, 104.8590036 11.5632072)","(11.5632124, 104.8593428)","(11.5632072, 104.8590036)",01-Sep-23 8.35 AM - 20240115193715.png,01-Sep-23,8:35 AM
152,2135785329,10803592967,10000,920003525,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,37.399,40,"LINESTRING (104.859686 11.5632061, 104.8594769 11.5632124, 104.8593428 11.5632124)","(11.5632061, 104.859686)","(11.5632124, 104.8593428)",01-Sep-23 8.35 AM - 20240115193720.png,01-Sep-23,8:35 AM
153,2135785330,6115627638,10000,920002943,1,,,មហាវិថី សហព័ន្ធរុស្ស៊ី,primary,False,20.093,,"LINESTRING (104.8749573 11.5627533, 104.8747752 11.562782)","(11.5627533, 104.8749573)","(11.562782, 104.8747752)",01-Sep-23 8.35 AM - 20240115193724.png,01-Sep-23,8:35 AM
